Cited in,Work_id,Title,First author,First author id,Institution name,Affiliation
https://openalex.org/W3011450051,https://openalex.org/W1882429841,Real-Time Observation of Organic Cation Reorientation in Methylammonium Lead Iodide Perovskites,Artem A. Bakulin,https://openalex.org/A5049502490,Institute for Atomic and Molecular Physics,"['Cavendish#R#Laboratory, University of Cambridge, JJ Thomson Avenue, Cambridge CB30HE, United Kingdom', 'FOM Institute AMOLF, Science#R#Park 104, Amsterdam, 1098#R#XG, The Netherlands']"
https://openalex.org/W3011450051,https://openalex.org/W1963779543,Polaronic effects on excitons in quantum wells,Ruisheng Zheng,https://openalex.org/A5009213585,Yamaguchi University,"['Department of Advanced Materials Science and Engineering, Faculty of Engineering, Yamaguchi University, Ube, 755, Japan', 'Physics Department, Inner Mongolia University, Hohhot, 010021, China']"
https://openalex.org/W3011450051,https://openalex.org/W1970868308,Studies of polaron motion,T. Holstein,https://openalex.org/A5043043561,Westinghouse Electric (United States),"['Westinghouse Research Laboratories,Pittsburgh Pennsylvania']"
https://openalex.org/W3011450051,https://openalex.org/W1973180683,Attractive and repulsive Fermi polarons in two dimensions,M. Koschorreck,https://openalex.org/A5080569060,University of Cambridge,"['Cavendish Laboratory, University of Cambridge, JJ Thomson Avenue, Cambridge CB3 0HE, UK']"
https://openalex.org/W3011450051,https://openalex.org/W1980380153,Real-Time Observation of Cuprates Structural Dynamics by Ultrafast Electron Crystallography,Fabrizio Carbone,https://openalex.org/A5030346068,California Institute of Technology,"['Laboratory of Ultrafast Spectroscopy, Ecole Polytechnique Fédérale de Lausanne (EPFL), 1015 Lausanne, Switzerland', 'Physical Biology Center for Ultrafast Science and Technology, Arthur Amos Noyes Laboratory of Chemical Physics, California Institute of Technology, Pasadena, CA 91125, USA']"
https://openalex.org/W3011450051,https://openalex.org/W1995313738,Polaron Induced Anomalies in the Interband Magnetoabsorption of InSb,E. J. Johnson,https://openalex.org/A5063453528,MIT Lincoln Laboratory,"['Lincoln Laboratory, Massachusetts Institute of Technology, Lexington, Massachusetts']"
https://openalex.org/W3011450051,https://openalex.org/W1995595502,"Excitons in organic–inorganic hybrid compounds (CnH2n+1NH3)2PbBr4 (n=4, 5, 7 and 12)",Nobuaki Kitazawa,https://openalex.org/A5048864996,National Defense Academy of Japan,"['Department of Materials Science and Engineering, National Defense Academy, 1-10-20 Hashirimizu, Yokosuka, Kanagawa 239-8686, Japan']"
https://openalex.org/W3011450051,https://openalex.org/W2013743366,"Substitution effects on bipolarons in alkoxy derivatives of poly(1,4-phenylene-vinylene)",K. Voss,https://openalex.org/A5054589514,"University of California, Santa Barbara","['Institute for Polymers and Organic Solids, University of California at Santa Barbara, Santa Barbara, California 93106']"
https://openalex.org/W3011450051,https://openalex.org/W2015578654,Electrons in lattice fields,H. Fröhlich,https://openalex.org/A5062224714,University of Liverpool,"['Department of Theoretical Physics, University of Liverpool']"
https://openalex.org/W3011450051,https://openalex.org/W2020267938,Optical Absorption of Polarons in the Feynman-Hellwarth-Iddings-Platzman Approximation,J. T. Devreese,https://openalex.org/A5067467670,University of Antwerp,"['Institute for Applied Mathematics, Faculty of Science, University of Antwerp, Middelheimlaan 1, Antwerp, Belgium']"
https://openalex.org/W3011450051,https://openalex.org/W2033597029,Electronic and Excitonic Structures of Inorganic–Organic Perovskite-Type Quantum-Well Crystal (C<sub>4</sub>H<sub>9</sub>NH<sub>3</sub>)<sub>2</sub>PbBr<sub>4</sub>,Ken’ichiro Tanaka,https://openalex.org/A5028278086,The University of Tokyo,"['Department of Materials Science, The University of Tokyo, 7-3-1 Hongo, Bunkyo-ku, Tokyo 113-8656, Japan']"
https://openalex.org/W3011450051,https://openalex.org/W2036460302,Temperature-dependent time-resolved photoluminescence of (C6H5C2H4NH3)2PbX4 (X=Br and I),Nobuaki Kitazawa,https://openalex.org/A5048864996,National Defense Academy of Japan,"['Department of Materials Science and Engineering, National Defense Academy, 1-10-20 Hashirimizu, Yokosuka, Kanagawa 239-8686, Japan']"
https://openalex.org/W3011450051,https://openalex.org/W2039548391,Polaron Physics in 2D and 3D,J. T. Devreese,https://openalex.org/A5048847109,University of Antwerp,"['Physics Department, University of Antwerp (UIA) Universiteitsplein 1, B-2610 Wilrijk-Antwerpen, Belgium']"
